"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","url","word","key_press_decoded"
3767.10000002384,"<p>Benvenuto in questo studio sperimentale!</p><p>Premi un tasto qualsiasi per iniziare.</p>","enter","html-keyboard-response",0,3768,"0.0-0.0","","",NA
5168.10000002384,"","","external-html",1,9132,"0.0-1.0","taboo-resources/informedconsent_itde_production.html","",NA
31155.2000000477,"","{""gender"":""Maschio"",""age"":""20"",""language"":""Italiano"",""other_lang"":""si"",""which_other_lang"":""Inglese""}","survey-text",2,40408,"0.0-2.0","","",NA
98524.7000000477,"<div style=""width: 1000px;text-align:left;""><p align=""center""><b><h2>Istruzioni</h2></b></p><p align=""center""><b><h3 style=""color:red"";>Leggi attentamente queste istruzioni!</h2></b></p><p align=""left""> In questo esperimento ti verranno presentate 12 parole Italiane. Il tuo compito consisterà nello scrivere quale potrebbe essere la traduzione tedesca per ciascuna parola. Nello specifico dovrai fornire tre tentativi di traduzione tedesca per ciascuna parola italiana. </p><p align=""left""> Ti chiediamo di non utilizzare software di traduzione o dizionari, poiché non siamo interessati a ottenere la traduzione corretta, ma le tue genuine intuizioni a riguardo. È anche importante che non ti basi su altre lingue che potresti incidentalmente conoscere (per es. l’inglese, il francese o lo spagnolo), ma che ti basi il più possibile solamente sulla tua conoscenza ortografica del tedesco. </p><p align='left'> Sappiamo che non parli tedesco e che quindi non conoscerai la traduzione corretta delle parole che ti vengono mostrate. Tuttavia, ti chiediamo di fornire risposte che possano aiutare altri partecipanti tedeschi a capire cosa hai visto. Ti preghiamo di fornire risposte che potrebbero sembrare realmente parole tedesche; in particolare, ti chiediamo di non rispondere con altre parole italiane (ad es. sinonimi o parole ortograficamente troppo simili a quella italiana di partenza) o con altre parole tedesche esistenti (o provenienti da altre lingue) che potresti casualmente conoscere. Allo stesso tempo è importante che ogni tua risposta sia leggibile, e che quindi non sia una serie casuale di caratteri.  </p><p align=""left""> Infatti, successivamente, in un altro esperimento, le tue risposte saranno date a partecipanti tedeschi, che dovranno indovinare la parola originale che tu hai visto.</p><p align=""left""> In altre parole, anche se non parli tedesco, ti chiediamo di provare a scrivere una sequenza di lettere che possa plausibilmente sembrare una parola tedesca esistente con il significato di ogni parola target che vedrai. </p><p align=""left""> Nota che i partecipanti tedeschi non sapranno nulla della tua identità, e in particolare non sapranno che una persona di lingua italiana ha prodotto ogni parola. </p><p align=""left""> Per esempio, immaginando che la parola target sia: <u>""bicchiere""</u> </p><p align=""left""> Rispose valide potrebbero essere: <u>""grunzten""</u>, <u>""buortz""</u>, <u>""karum""</u>.  </p><p align=""left""> Mentre risposte come: <u>""bicchierern""</u>, <u>""glass""</u>, <u>""xcnixcnwpdcn""</u> <b>non</b> sarebbero valide. </p><p align=""left""> Sentiti libero di lavorare al tuo ritmo. </p></div>","0","html-button-response",4,162052,"0.0-4.0","","",NA
49852.2000000477,"","{""response1"":""praietz"",""response2"":""peirtz"",""response3"":""pascth""}","survey-text-mod",5,212012,"0.0-5.0-0.0","","pesce",NA
51587.3999999762,"","{""response1"":""maletz"",""response2"":""apfel"",""response3"":""melsch""}","survey-text-mod",6,263712,"0.0-5.0-0.1","","mela",NA
82244.8000000715,"","{""response1"":""donn"",""response2"":""womanzsh"",""response3"":""donsz""}","survey-text-mod",7,346070,"0.0-5.0-0.2","","donna",NA
106782.899999976,"","{""response1"":""fersen"",""response2"":""fernsz"",""response3"":""Feisenz""}","survey-text-mod",8,452968,"0.0-5.0-0.3","","ferro",NA
42928.3000000715,"","{""response1"":""Lon"",""response2"":""Monsz"",""response3"":""Munsch""}","survey-text-mod",9,496007,"0.0-5.0-0.4","","luna",NA
50070.5,"","{""response1"":""belfsh"",""response2"":""feirt"",""response3"":""feirzsh""}","survey-text-mod",10,546184,"0.0-5.0-0.5","","carne",NA
50032.8999999762,"","{""response1"":""polsz"",""response2"":""farsch"",""response3"":""pirh""}","survey-text-mod",11,596327,"0.0-5.0-0.6","","farina",NA
59797.6000000238,"","{""response1"":""larsh"",""response2"":""larsz"",""response3"":""lartt""}","survey-text-mod",12,656241,"0.0-5.0-0.7","","grasso",NA
41601.8999999762,"","{""response1"":""foier"",""response2"":""fellst"",""response3"":""fellendh""}","survey-text-mod",13,697948,"0.0-5.0-0.8","","bello",NA
126700.200000048,"","{""response1"":""domensch"",""response2"":""deimond"",""response3"":""fenalsz""}","survey-text-mod",14,824765,"0.0-5.0-0.9","","domenica",NA
257710.299999952,"","{""response1"":""naresth"",""response2"":""remosz"",""response3"":""neturelsz""}","survey-text-mod",15,1082591,"0.0-5.0-0.10","","verdura",NA
66794.8000000715,"","{""response1"":""trichels"",""response2"":""fortensch"",""response3"":""calventz""}","survey-text-mod",16,1149497,"0.0-5.0-0.11","","cavallo",NA
20102.8000000715,"","{""previous_experience"":""nussuna"",""response_method"":""intuito""}","survey-text",17,1169706,"0.0-6.0","","",NA
