"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","url","target","original_word","original_translation","original_producer","ID","key_press_decoded","slider_start","att_type","value"
"4696.199999988079","<p>Vielen Dank f&uuml;r Ihr Interesse!</p><p>Dr&uuml;cken Sie eine beliebige Taste, um das Experiment zu starten.</p>","enter","html-keyboard-response","0","4697","0.0-0.0","","","","","","","","","",""
"5113.199999988079","","","external-html","1","9973","0.0-1.0","taboo-resources/informedconsent_itde_reception_german.html","","","","","","","","",""
"33791.80000001192","","{""gender"":""männlich"",""age"":""28"",""language"":""deutsch"",""other_lang"":""ja"",""which_other_lang"":""englisch""}","survey-text","2","43877","0.0-2.0","","","","","","","","","",""
"41363.59999996424","<div style=""width: 1000px;text-align:left;""><p align=""center""><b><h2>Anleitung</h2></b></p><p align=""center""><b><h3 style=""color:red"";>Lesen Sie diese Anleitung bitte ausmerksam durch!</h2></b></p><p align=""left""> Dieses Experiment &auml;hnelt dem bekannten Spiel &ldquo;Tabu&rdquo;, bei dem die Spieler ein Wort beschreiben m&uuml;ssen, ohne es tats&auml;chlich zu verwenden. In diesem Teil der Studie schl&uuml;pfen Sie in die Rolle des &ldquo;ratenden&rdquo; Spielers. </p><p align=""left""> In einem anderen Experiment haben wir anderen Personen einzelne W&ouml;rter wie &ldquo;Apfel&rdquo; gezeigt. Wir haben sie gebeten, diese W&ouml;rter durch jeweils ein anderes einzelnes Wort zu ersetzen, das die urspr&uuml;ngliche Bedeutung so genau wie m&ouml;glich wiedergibt, damit Sie als ratender Spieler die besten Chancen haben, sie richtig zu erraten. Aufgrund einiger Einschr&auml;nkungen k&ouml;nnten Ihnen diese W&ouml;rter seltsam vorkommen. Bitte geben Sie trotzdem ihr Bestes, das urspr&uuml;ngliche Wort zu erraten! </p><p align='left'> In diesem Experiment werden Ihnen also verschiedene einzelne W&ouml;rter vorgelegt (die alle von fr&uuml;heren Versuchsteilnehmer*innen stammen), und Sie sollen erraten, welches Originalwort diese ersetzen k&ouml;nnten.  </p><p align=""left""> F&uuml;r jedes Wort m&uuml;ssen Sie 3 m&ouml;gliche Originalw&ouml;rter vorschlagen. Auch wenn Sie sich bei dem Originalwort sicher sein sollten, geben Sie bitte 2 weitere Vorschl&auml;ge an.</p><p align=""left""> Nachdem Sie Ihre Vermutungen abgegeben haben, wird Ihnen zus&auml;tzlich ein Wort vorgelegt. Bitte geben Sie an, ob dieses ein guter Ersatz f&uuml;r das Originalwort w&auml;re. </p></div>","0","html-button-response","3","85356","0.0-3.0","","","","","","","","","",""
"27374.700000047684","","{""response1"":""Düne"",""response2"":""Dusche"",""response3"":""Junge""}","survey-text-mod","4","112835","0.0-4.0-0.0","","DUGNE","sogno","TRAUM","itde_production_676441.csv","55","","","",""
"10526.800000011921","Wie gut funktioniert <b>DUGNE</b> als Ersatz f&uuml;r das urspr&uuml;ngliche Wort <b>TRAUM</b>?","14","html-slider-response","5","123467","0.0-4.0-1.0","","DUGNE","sogno","TRAUM","itde_production_676441.csv","55","","50","",""
"36166.80000001192","","{""response1"":""Spielen"",""response2"":""Spucken"",""response3"":""Mieten""}","survey-text-mod","6","159746","0.0-4.0-0.1","","SPIETEN","peccato","SÜNDE","itde_production_676441.csv","55","","","",""
"4103.600000023842","Wie gut funktioniert <b>SPIETEN</b> als Ersatz f&uuml;r das urspr&uuml;ngliche Wort <b>SÜNDE</b>?","16","html-slider-response","7","163954","0.0-4.0-1.1","","SPIETEN","peccato","SÜNDE","itde_production_676441.csv","55","","50","",""
"37358.60000002384","","{""response1"":""Suchen"",""response2"":""Ausprobieren"",""response3"":""Versuchen""}","survey-text-mod","8","201425","0.0-4.0-0.2","","ORTUCHEN","morto","TOT","itde_production_676441.csv","55","","","",""
"3209","Wie gut funktioniert <b>ORTUCHEN</b> als Ersatz f&uuml;r das urspr&uuml;ngliche Wort <b>TOT</b>?","14","html-slider-response","9","204745","0.0-4.0-1.2","","ORTUCHEN","morto","TOT","itde_production_676441.csv","55","","50","",""
"15093.199999988079","","{""response1"":""Ducken"",""response2"":""Suchen"",""response3"":""Denken""}","survey-text-mod","10","219953","0.0-4.0-0.3","","DUCHEN","cane","HUND","itde_production_676441.csv","55","","","",""
"3558.2000000476837","Wie gut funktioniert <b>DUCHEN</b> als Ersatz f&uuml;r das urspr&uuml;ngliche Wort <b>HUND</b>?","10","html-slider-response","11","223616","0.0-4.0-1.3","","DUCHEN","cane","HUND","itde_production_676441.csv","55","","50","",""
"20714.100000023842","","{""response1"":""Katze"",""response2"":""Sonne"",""response3"":""Feiern""}","survey-text-mod","12","244440","0.0-4.0-0.4","","FRINA","chiave","SCHLÜSSEL","itde_production_676441.csv","55","","","",""
"2683.7000000476837","Wie gut funktioniert <b>FRINA</b> als Ersatz f&uuml;r das urspr&uuml;ngliche Wort <b>SCHLÜSSEL</b>?","14","html-slider-response","13","247240","0.0-4.0-1.4","","FRINA","chiave","SCHLÜSSEL","itde_production_676441.csv","55","","50","",""
"20324.399999976158","","{""response1"":""Schuhe"",""response2"":""Kochen"",""response3"":""Ersetzen""}","survey-text-mod","14","267679","0.0-4.0-0.5","","CORTUKE","cucchiaio","LÖFFEL","itde_production_676441.csv","55","","","",""
