"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","url","target","original_word","original_translation","original_producer","ID","key_press_decoded","slider_start","att_type"
"4031.7000000029802","<p>Vielen Dank f&uuml;r Ihr Interesse!</p><p>Dr&uuml;cken Sie eine beliebige Taste, um das Experiment zu starten.</p>","v","html-keyboard-response","0","4034","0.0-0.0","","","","","","","","",""
"4451.29999999702","","","external-html","1","8615","0.0-1.0","taboo-resources/informedconsent_itde_reception_german.html","","","","","","","",""
"28486.70000000298","","{""gender"":""Männlich"",""age"":""22"",""language"":""Deutsch"",""other_lang"":""Ja"",""which_other_lang"":""Englisch, Französisch, Türkisch""}","survey-text","2","37216","0.0-2.0","","","","","","","","",""
"43950.69999999553","<div style=""width: 1000px;text-align:left;""><p align=""center""><b><h2>Anleitung</h2></b></p><p align=""center""><b><h3 style=""color:red"";>Lesen Sie diese Anleitung bitte ausmerksam durch!</h2></b></p><p align=""left""> Dieses Experiment &auml;hnelt dem bekannten Spiel &ldquo;Tabu&rdquo;, bei dem die Spieler ein Wort beschreiben m&uuml;ssen, ohne es tats&auml;chlich zu verwenden. In diesem Teil der Studie schl&uuml;pfen Sie in die Rolle des &ldquo;ratenden&rdquo; Spielers. </p><p align=""left""> In einem anderen Experiment haben wir anderen Personen einzelne W&ouml;rter wie &ldquo;Apfel&rdquo; gezeigt. Wir haben sie gebeten, diese W&ouml;rter durch jeweils ein anderes einzelnes Wort zu ersetzen, das die urspr&uuml;ngliche Bedeutung so genau wie m&ouml;glich wiedergibt, damit Sie als ratender Spieler die besten Chancen haben, sie richtig zu erraten. Aufgrund einiger Einschr&auml;nkungen k&ouml;nnten Ihnen diese W&ouml;rter seltsam vorkommen. Bitte geben Sie trotzdem ihr Bestes, das urspr&uuml;ngliche Wort zu erraten! </p><p align='left'> In diesem Experiment werden Ihnen also verschiedene einzelne W&ouml;rter vorgelegt (die alle von fr&uuml;heren Versuchsteilnehmer*innen stammen), und Sie sollen erraten, welches Originalwort diese ersetzen k&ouml;nnten.  </p><p align=""left""> F&uuml;r jedes Wort m&uuml;ssen Sie 3 m&ouml;gliche Originalw&ouml;rter vorschlagen. Auch wenn Sie sich bei dem Originalwort sicher sein sollten, geben Sie bitte 2 weitere Vorschl&auml;ge an.</p><p align=""left""> Nachdem Sie Ihre Vermutungen abgegeben haben, wird Ihnen zus&auml;tzlich ein Wort vorgelegt. Bitte geben Sie an, ob dieses ein guter Ersatz f&uuml;r das Originalwort w&auml;re. </p></div>","0","html-button-response","3","81271","0.0-3.0","","","","","","","","",""
"25274.89999999851","","{""response1"":""Ballet"",""response2"":""Paartanz"",""response3"":""Breakdance""}","survey-text-mod","4","106653","0.0-4.0-0.0","","KERTANZ","aeroporto","FLUGHAFEN","itde_production_149475.csv","2","","",""
"17002.40000000596","Wie gut funktioniert <b>KERTANZ</b> als Ersatz f&uuml;r das urspr&uuml;ngliche Wort <b>FLUGHAFEN</b>?","0","html-slider-response","5","123760","0.0-4.0-1.0","","KERTANZ","aeroporto","FLUGHAFEN","itde_production_149475.csv","2","","50",""
"21945.60000000149","","{""response1"":""neunzehn"",""response2"":""menemen"",""response3"":""insekten""}","survey-text-mod","6","145811","0.0-4.0-0.1","","NEZENEN","neve","SCHNEE","itde_production_149475.csv","2","","",""
"2711","Wie gut funktioniert <b>NEZENEN</b> als Ersatz f&uuml;r das urspr&uuml;ngliche Wort <b>SCHNEE</b>?","0","html-slider-response","7","148625","0.0-4.0-1.1","","NEZENEN","neve","SCHNEE","itde_production_149475.csv","2","","50",""
"11465.79999999702","","{""response1"":""Zinsen"",""response2"":""Zentis"",""response3"":""zeitschrift""}","survey-text-mod","8","160196","0.0-4.0-0.2","","ZETINSEN","scienza","WISSENSCHAFT","itde_production_149475.csv","2","","",""
"5665.20000000298","Wie gut funktioniert <b>ZETINSEN</b> als Ersatz f&uuml;r das urspr&uuml;ngliche Wort <b>WISSENSCHAFT</b>?","0","html-slider-response","9","165964","0.0-4.0-1.2","","ZETINSEN","scienza","WISSENSCHAFT","itde_production_149475.csv","2","","50",""
