participant_id;word;response;trial_order;response_order;rt;age;gender;other_languages
138008;aeroporto;arporzent;0;response2;137135,60000038100;19;female;english, spanish
936410;aeroporto;olirevaz;6;response3;35727,29999999890;22;male;english
936410;aeroporto;niestren;6;response2;35727,29999999890;22;male;english
453362;aeroporto;aerepock;7;response1;80853,39999985691;19;female;english
789134;aeroporto;flugan;3;response1;63898,70000028610;20;female;english
272170;aeroporto;braffor;10;response1;80047,00000000000;20;female;english, spanish
69205;aeroporto;viransistalk;10;response3;59272,59999990460;19;female;english, spanish
874117;aeroporto;zifflegen;10;response2;36810,00000000000;19;male;english, french, spanish
260250;aeroporto;repokret;0;response1;32469,20000004770;25;male;english, french
74172;aeroporto;plenkghe;9;response2;46220,50000000000;19;female;none
676441;aeroporto;spialzen;7;response2;27892,30000000450;22;male;english, french, spanish
671665;aeroporto;arenvog;11;response1;26462,30000007150;19;female;english
178669;aeroporto;loibnerten;11;response2;40488,80000001190;24;male;english
734905;aeroporto;fluengeren;2;response1;40259,39999997620;25;female;english
671050;aeroporto;arrzemport;6;response2;42206,80000001190;19;male;none
874117;aeroporto;arelat;10;response1;36810,00000000000;19;male;english, french, spanish
734905;aeroporto;guittel;2;response3;40259,39999997620;25;female;english
74172;aeroporto;arepalnken;9;response3;46220,50000000000;19;female;none
908705;aeroporto;blumfult;3;response3;102370,00000000000;41;male;english
594987;aeroporto;aintau;4;response2;155769,50000000000;19;female;english
414592;aeroporto;ellindot;8;response2;67024,69999999930;45;female;english
660329;aeroporto;plinast;5;response1;34975,00000000000;20;female;english
936410;aeroporto;miltr;6;response1;35727,29999999890;22;male;english
241058;aeroporto;wunderplane;1;response1;45895,70000004770;20;female;english, spanish
676441;aeroporto;viagem;7;response3;27892,30000000450;22;male;english, french, spanish
789134;aeroporto;flaguzeun;3;response2;63898,70000028610;20;female;english
272170;aeroporto;aorken;10;response3;80047,00000000000;20;female;english, spanish
138008;aeroporto;ireportenz;0;response3;137135,60000038100;19;female;english, spanish
671050;aeroporto;arzemost;6;response3;42206,80000001190;19;male;none
678940;aeroporto;gustandur;5;response3;31165,30000001190;19;female;english
979648;aeroporto;notsinten;9;response2;36868,30000019070;20;female;english
594987;aeroporto;votaeni;4;response3;155769,50000000000;19;female;english
908705;aeroporto;zugvaff;3;response2;102370,00000000000;41;male;english
994381;aeroporto;machenland;9;response3;35183,40000000600;25;male;english
95325;aeroporto;voluegen;3;response1;52099,09999999960;21;female;english
760400;aeroporto;koskpors;11;response1;36490,99999999990;19;female;english
178669;aeroporto;auberlaufen;11;response3;40488,80000001190;24;male;english
241058;aeroporto;homerzain;1;response2;45895,70000004770;20;female;english, spanish
272170;aeroporto;fronneko;10;response2;80047,00000000000;20;female;english, spanish
789134;aeroporto;flughapen;3;response3;63898,70000028610;20;female;english
509857;aeroporto;voswek;5;response3;57567,40000000600;27;female;english
138008;aeroporto;erportenz;0;response1;137135,60000038100;19;female;english, spanish
486709;aeroporto;erytrot;10;response2;51526,00000000000;20;female;english, spanish
979648;aeroporto;fertonka;9;response3;36868,30000019070;20;female;english
979648;aeroporto;rutraporten;9;response1;36868,30000019070;20;female;english
906037;aeroporto;munnechoff;9;response3;30119,40000000040;20;male;english
333688;aeroporto;hangaren;9;response3;23303,10000228880;20;female;english, spanish
74172;aeroporto;palngen;9;response1;46220,50000000000;19;female;none
339400;aeroporto;arruffeg;9;response3;31914,29999923710;19;female;english
945365;aeroporto;krankenir;8;response3;27831,80000019070;19;female;none
933294;aeroporto;arthener;3;response1;33806,10000038150;20;male;english, french
671050;aeroporto;artempoten;6;response1;42206,80000001190;19;male;none
757568;aeroporto;flughafen;10;response1;38405,00000000000;19;female;english
678940;aeroporto;meterorvir;5;response2;31165,30000001190;19;female;english
509857;aeroporto;skart;5;response2;57567,40000000600;27;female;english
414592;aeroporto;vaininsken;8;response1;67024,69999999930;45;female;english
149475;aeroporto;lokinen;10;response2;40732,89999997620;19;female;english, french
945365;aeroporto;jungers;8;response2;27831,80000019070;19;female;none
908705;aeroporto;lutwaf;3;response1;102370,00000000000;41;male;english
994381;aeroporto;aerland;9;response2;35183,40000000600;25;male;english
865548;aeroporto;ausporten;7;response3;112906,60000002400;22;female;spanish
676441;aeroporto;arconten;7;response1;27892,30000000450;22;male;english, french, spanish
339400;aeroporto;motterforg;9;response2;31914,29999923710;19;female;english
792870;aeroporto;kred;6;response1;38051,80000000030;19;female;english
453362;aeroporto;arevuss;7;response2;80853,39999985691;19;female;english
260250;aeroporto;fritler;0;response2;32469,20000004770;25;male;english, french
260250;aeroporto;frinker;0;response3;32469,20000004770;25;male;english, french
678940;aeroporto;vergaz;5;response1;31165,30000001190;19;female;english
69205;aeroporto;nukhost;10;response2;59272,59999990460;19;female;english, spanish
757568;aeroporto;flugplatz;10;response3;38405,00000000000;19;female;english
414592;aeroporto;mollenkes;8;response3;67024,69999999930;45;female;english
97012;aeroporto;tashfele;9;response2;38364,00000000000;23;female;english, spanish
97012;aeroporto;shomperk;9;response3;38364,00000000000;23;female;english, spanish
697648;aeroporto;kafthein;0;response1;82839,50000000000;18;female;english, french, greek, latin
994381;aeroporto;landaer;9;response1;35183,40000000600;25;male;english
339400;aeroporto;vohlter;9;response1;31914,29999923710;19;female;english
178669;aeroporto;auberchaft;11;response1;40488,80000001190;24;male;english
634231;aeroporto;armenolen;7;response2;36186,90000000600;19;female;english
734905;aeroporto;prousch;2;response2;40259,39999997620;25;female;english
671665;aeroporto;avert;11;response3;26462,30000007150;19;female;english
594987;aeroporto;partenhu;4;response1;155769,50000000000;19;female;english
160288;aeroporto;planhim;9;response2;55318,19999999930;21;female;english
74958;aeroporto;vollen;10;response1;39853,29999971390;46;male;english, french
486709;aeroporto;aerytro;10;response3;51526,00000000000;20;female;english, spanish
945365;aeroporto;coloter;8;response1;27831,80000019070;19;female;none
333688;aeroporto;unterk;9;response2;23303,10000228880;20;female;english, spanish
417207;aeroporto;esium;4;response3;50926,50000000000;20;female;english, french
74958;aeroporto;aercargen;10;response3;39853,29999971390;46;male;english, french
333688;aeroporto;fliagen;9;response1;23303,10000228880;20;female;english, spanish
235784;aeroporto;portkenan;8;response1;42526,69999999930;19;female;english, french
645773;aeroporto;drischken;1;response2;103031,89999999100;19;female;english, french, spanish
645773;aeroporto;fahgfenk;1;response3;103031,89999999100;19;female;english, french, spanish
660329;aeroporto;arpontz;5;response2;34975,00000000000;20;female;english
660329;aeroporto;elevon;5;response3;34975,00000000000;20;female;english
905870;aeroporto;klugafen;11;response3;43780,80000000070;19;female;english
509857;aeroporto;floffen;5;response1;57567,40000000600;27;female;english
149475;aeroporto;kertanz;10;response1;40732,89999997620;19;female;english, french
874117;aeroporto;porskia;10;response3;36810,00000000000;19;male;english, french, spanish
865548;aeroporto;aierporten;7;response2;112906,60000002400;22;female;spanish
149475;aeroporto;bukerzen;10;response3;40732,89999997620;19;female;english, french
887276;aeroporto;fluport;11;response2;46142,00000000000;20;female;english
280558;aeroporto;voindt;4;response3;32057,20000004770;19;female;english
697648;aeroporto;falughein;0;response2;82839,50000000000;18;female;english, french, greek, latin
57543;aeroporto;airshaft;7;response1;44863,79999999980;21;female;english, french, spanish
57543;aeroporto;flaufshaft;7;response2;44863,79999999980;21;female;english, french, spanish
241058;aeroporto;planehousen;1;response3;45895,70000004770;20;female;english, spanish
671665;aeroporto;aehwer;11;response2;26462,30000007150;19;female;english
760400;aeroporto;kimirto;11;response3;36490,99999999990;19;female;english
69205;aeroporto;mashkistoholer;10;response1;59272,59999990460;19;female;english, spanish
757568;aeroporto;airport;10;response2;38405,00000000000;19;female;english
540074;aeroporto;hoijen;11;response3;32694,00000000000;19;female;english, russian, spanish
293400;aeroporto;greinhofen;0;response3;100081,79999995200;21;female;english, french
97012;aeroporto;kurt;9;response1;38364,00000000000;23;female;english, spanish
906037;aeroporto;aporchendoist;9;response1;30119,40000000040;20;male;english
74958;aeroporto;scallen;10;response2;39853,29999971390;46;male;english, french
417207;aeroporto;ropert;4;response2;50926,50000000000;20;female;english, french
697648;aeroporto;lufgatein;0;response3;82839,50000000000;18;female;english, french, greek, latin
847378;aeroporto;krainkurven;8;response2;44480,00000000000;21;female;english
160288;aeroporto;aeroenem;9;response1;55318,19999999930;21;female;english
652860;aeroporto;waffeport;0;response1;138060,00000000000;33;female;none
264771;aeroporto;erokten;11;response1;22885,59999999400;19;female;english
486709;aeroporto;artvolt;10;response1;51526,00000000000;20;female;english, spanish
417207;aeroporto;vilaro;4;response1;50926,50000000000;20;female;english, french
652860;aeroporto;airhause;0;response2;138060,00000000000;33;female;none
160288;aeroporto;philro;9;response3;55318,19999999930;21;female;english
906037;aeroporto;luipertest;9;response2;30119,40000000040;20;male;english
154789;aeroporto;creteel;5;response2;34105,20000004770;19;female;none
235784;aeroporto;anken;8;response3;42526,69999999930;19;female;english, french
453362;aeroporto;welsch;7;response3;80853,39999985691;19;female;english
634231;aeroporto;fenhcratazen;7;response1;36186,90000000600;19;female;english
235784;aeroporto;adkez;8;response2;42526,69999999930;19;female;english, french
905870;aeroporto;arportefen;11;response2;43780,80000000070;19;female;english
756343;aeroporto;flidenarren;2;response3;217633,89999999999;20;female;english
280558;aeroporto;froist;4;response1;32057,20000004770;19;female;english
280558;aeroporto;nusten;4;response2;32057,20000004770;19;female;english
847378;aeroporto;lopunker;8;response1;44480,00000000000;21;female;english
748501;aeroporto;gestopanke;2;response1;58882,50000000000;19;male;english, russian
865548;aeroporto;lufthaus;7;response1;112906,60000002400;22;female;spanish
887276;aeroporto;flourwiss;11;response3;46142,00000000000;20;female;english
792870;aeroporto;vrest;6;response3;38051,80000000030;19;female;english
